"SDate","STime","SDateTime","Station","GROW_AREA","OpenClosed","WDIR","Tide","Class","CATEGORY","Temp","FLOOD","Sal","ColiScore","RawColi","DELIVERY_TEMP_C","YEAR","LCFlag","RCFlag","ColiVal"
2016-03-22,12:23:00,2016-03-22 12:23:00,"WK059.20","WK","O","SE","HE","CA","A",4,,30,1.9,"<2",3.5,2016,TRUE,FALSE,2
2016-03-09,12:06:00,2016-03-09 12:06:00,"WK059.20","WK","O","NW","HE","CA","A",7,,28,1.9,"<2",3,2016,TRUE,FALSE,2
2016-02-23,09:00:00,2016-02-23 09:00:00,"WK059.20","WK","O","N","F","CA","A",2,,31,1.9,"1.9",3,2016,FALSE,FALSE,1.9
2016-01-20,08:33:00,2016-01-20 08:33:00,"WK059.20","WK","O","CL","HE","CA","A",-2,,32,1.9,"<2",3,2016,TRUE,FALSE,2
2015-12-28,12:52:00,2015-12-28 12:52:00,"WK059.20","WK","O","NW","H","CA","A",3,,30,1.9,"<2",3,2015,TRUE,FALSE,2
2015-12-16,14:17:00,2015-12-16 14:17:00,"WK059.20","WK","O","NW","H","CA","A",6,,30,1.9,"<2",3,2015,TRUE,FALSE,2
2015-12-01,14:18:00,2015-12-01 14:18:00,"WK059.20","WK","O","CL","HF","CA","A",5,,30,1.9,"<2",4,2015,TRUE,FALSE,2
2015-11-02,15:33:00,2015-11-02 15:33:00,"WK059.20","WK","O","W","H","CA","A",10,,30,1.9,"<2",5,2015,TRUE,FALSE,2
2015-09-08,11:31:00,2015-09-08 11:31:00,"WK059.20","WK","C","CL","E","CA","A",23,,30,2,"2",8,2015,FALSE,FALSE,2
2015-07-22,16:09:00,2015-07-22 16:09:00,"WK059.20","WK","C","CL","H","CA","A",20,,30,1.9,"<2",8,2015,TRUE,FALSE,2
2015-06-17,15:16:00,2015-06-17 15:16:00,"WK059.20","WK","O","CL","E","A","A",18,,30,1.9,"<2",5,2015,TRUE,FALSE,2
2015-06-02,11:32:00,2015-06-02 11:32:00,"WK059.20","WK","O","CL","H","A","A",11,,20,116,"116",2,2015,FALSE,FALSE,116
2015-04-22,16:25:00,2015-04-22 16:25:00,"WK059.20","WK","C","CL","E","A","A",10,FALSE,22,1.9,"<2",7.5,2015,TRUE,FALSE,2
2015-04-07,16:49:00,2015-04-07 16:49:00,"WK059.20","WK","O","SW","E","A","A",4,,28,1.9,"<2",2,2015,TRUE,FALSE,2
2019-09-23,08:02:00,2019-09-23 08:02:00,"WK058.00","WK","O",,"E","A","A",16,,31,1.9,"<2",4,2019,TRUE,FALSE,2
2019-08-20,13:14:00,2019-08-20 13:14:00,"WK058.00","WK","O",,"F","A","A",21,,31,1.9,"<2",4,2019,TRUE,FALSE,2
2019-07-30,08:23:00,2019-07-30 08:23:00,"WK058.00","WK","O",,"F","A","A",22,,30,4,"4",8,2019,FALSE,FALSE,4
2019-06-26,08:28:00,2019-06-26 08:28:00,"WK058.00","WK","O",,"E","A","A",13,,25,10,"10",4,2019,FALSE,FALSE,10
2019-05-29,,2019-05-29 00:00:00,"WK058.00","WK","O",,"LF","A","A",9,,25,6,"6",5,2019,FALSE,FALSE,6
2019-04-29,08:49:00,2019-04-29 08:49:00,"WK058.00","WK","O",,"HE","A","A",9,,26,4,"4",3,2019,FALSE,FALSE,4
2019-03-18,11:00:00,2019-03-18 11:00:00,"WK058.00","WK","O",,"E","A","A",0,,32,1.9,"<2",4,2019,TRUE,FALSE,2
2019-02-26,20:43:00,2019-02-26 20:43:00,"WK058.00","WK","O",,"E","A","A",2,,30,1.9,"<2",1,2019,TRUE,FALSE,2
2019-01-28,15:10:00,2019-01-28 15:10:00,"WK058.00","WK","O",,"F","A","A",-2,,32,1.9,"<2",4,2019,TRUE,FALSE,2
2019-01-07,12:52:00,2019-01-07 12:52:00,"WK058.00","WK","O",,"HE","A","A",6,,32,1.9,"<2",5,2019,TRUE,FALSE,2
2018-10-10,11:02:00,2018-10-10 11:02:00,"WK058.00","WK","O","CL","HF","A","A",14,,35,1.9,"<2",5,2018,TRUE,FALSE,2
2018-09-17,16:47:00,2018-09-17 16:47:00,"WK058.00","WK","C","S","HF","CA","A",20,,32,2,"2",1,2018,FALSE,FALSE,2
2018-08-26,,2018-08-26 00:00:00,"WK058.00","WK","C","S","E","CA","A",22,,31,2,"2",5,2018,FALSE,FALSE,2
2018-08-01,13:57:00,2018-08-01 13:57:00,"WK058.00","WK","C","S","HF","CA","A",23,,33,1.9,"<2",8,2018,TRUE,FALSE,2
2018-06-19,15:54:00,2018-06-19 15:54:00,"WK058.00","WK","C","N","HF","CA","A",17,,32,1.9,"<2",5,2018,TRUE,FALSE,2
2018-05-01,11:49:00,2018-05-01 11:49:00,"WK058.00","WK","O","S","HF","CA","A",10,,23,1.9,"<2",3,2018,TRUE,FALSE,2
2018-04-04,14:10:00,2018-04-04 14:10:00,"WK058.00","WK","O","S","HF","CA","A",6,,31,1.9,"<2",2,2018,TRUE,FALSE,2
2018-03-19,12:50:00,2018-03-19 12:50:00,"WK058.00","WK","O","CL","H","CA","A",0,,36,1.9,"<2",5,2018,TRUE,FALSE,2
2018-02-26,07:58:00,2018-02-26 07:58:00,"WK058.00","WK","O","CL","HE","CA","A",1,,36,1.9,"<2",6,2018,TRUE,FALSE,2
2018-02-05,14:30:00,2018-02-05 14:30:00,"WK058.00","WK","O","N","H","CA","A",0,,30,1.9,"<2",3,2018,TRUE,FALSE,2
2018-01-22,13:35:00,2018-01-22 13:35:00,"WK058.00","WK",,,"HF","CA","A",,,,,,,2018,,,
2018-01-09,14:23:00,2018-01-09 14:23:00,"WK058.00","WK",,,"F","CA","A",,,,,,,2018,,,
2017-11-06,11:40:00,2017-11-06 11:40:00,"WK058.00","WK","O","S","H","CA","A",12,,16,66,"66",2.5,2017,FALSE,FALSE,66
2017-09-06,12:00:00,2017-09-06 12:00:00,"WK058.00","WK","C","CL","H","CA","A",18,,34,35,"35",4,2017,FALSE,FALSE,35
2017-07-24,13:15:00,2017-07-24 13:15:00,"WK058.00","WK","C","W","HE","CA","A",20,,33,10,"10",4,2017,FALSE,FALSE,10
2017-06-19,07:44:00,2017-06-19 07:44:00,"WK058.00","WK","C","S","HE","CA","A",19,,30,4,"4",4,2017,FALSE,FALSE,4
2017-05-09,12:07:00,2017-05-09 12:07:00,"WK058.00","WK","O","SW","HE","CA","A",11,,25,1.9,"<2",3.5,2017,TRUE,FALSE,2
2017-04-05,07:56:00,2017-04-05 07:56:00,"WK058.00","WK","O","NE","HE","CA","A",3,,30,1.9,"<2",4,2017,TRUE,FALSE,2
2017-03-22,09:15:00,2017-03-22 09:15:00,"WK058.00","WK","O","NW","E","CA","A",5,,30,1.9,"<2",3,2017,TRUE,FALSE,2
2017-03-13,11:00:00,2017-03-13 11:00:00,"WK058.00","WK",,,"F","CA","A",,,,,,,2017,,,
2017-02-08,10:27:00,2017-02-08 10:27:00,"WK058.00","WK","O","CL","E","CA","A",0,,32,1.9,"<2",8,2017,TRUE,FALSE,2
2017-01-04,13:33:00,2017-01-04 13:33:00,"WK058.00","WK","O","CL","HF","CA","A",6,,30,1.9,"<2",4,2017,TRUE,FALSE,2
2016-12-05,13:13:00,2016-12-05 13:13:00,"WK058.00","WK","O","NE","HF","CA","A",5,,30,2,"2",6.5,2016,FALSE,FALSE,2
2016-11-28,,2016-11-28 00:00:00,"WK058.00","WK","O","NW","HF","CA","A",5,,32,1.9,"<2",1,2016,TRUE,FALSE,2
2016-11-07,,2016-11-07 00:00:00,"WK058.00","WK","O","N","HF","CA","A",7,,30,1.9,"<2",3,2016,TRUE,FALSE,2
2016-08-15,10:19:00,2016-08-15 10:19:00,"WK058.00","WK","C","CL","HE","CA","A",21,,30,6,"6",7,2016,FALSE,FALSE,6
2016-08-03,15:15:00,2016-08-03 15:15:00,"WK058.00","WK","C","SW","E","CA","A",24,,30,2,"2",6,2016,FALSE,FALSE,2
2016-05-11,15:45:00,2016-05-11 15:45:00,"WK058.00","WK","O","SW","H","CA","A",9,,30,1.9,"<2",6,2016,TRUE,FALSE,2
2016-04-12,15:20:00,2016-04-12 15:20:00,"WK058.00","WK","O","S","HF","CA","A",4,,30,1.9,"<2",1,2016,TRUE,FALSE,2
2016-03-22,11:48:00,2016-03-22 11:48:00,"WK058.00","WK","O","SE","H","CA","A",4,,28,1.9,"<2",3.5,2016,TRUE,FALSE,2
2016-03-09,12:57:00,2016-03-09 12:57:00,"WK058.00","WK","O","CL","E","CA","A",6,,29,20,"20",3,2016,FALSE,FALSE,20
2016-02-23,09:11:00,2016-02-23 09:11:00,"WK058.00","WK","O","CL","F","CA","A",1,,31,1.9,"1.9",3,2016,FALSE,FALSE,1.9
2016-01-20,07:30:00,2016-01-20 07:30:00,"WK058.00","WK","O","CL","H","CA","A",1,,32,1.9,"<2",3,2016,TRUE,FALSE,2
2015-12-28,12:40:00,2015-12-28 12:40:00,"WK058.00","WK","O","NW","H","CA","A",5,,30,1.9,"<2",3,2015,TRUE,FALSE,2
2015-12-16,14:30:00,2015-12-16 14:30:00,"WK058.00","WK","O","NW","H","CA","A",5,,30,1.9,"<2",3,2015,TRUE,FALSE,2
2015-12-01,14:04:00,2015-12-01 14:04:00,"WK058.00","WK","O","CL","HF","CA","A",5,,30,1.9,"<2",4,2015,TRUE,FALSE,2
2015-11-02,15:15:00,2015-11-02 15:15:00,"WK058.00","WK","O","W","H","CA","A",10,,30,1.9,"<2",5,2015,TRUE,FALSE,2
2015-09-08,11:22:00,2015-09-08 11:22:00,"WK058.00","WK","C","CL","E","CA","A",22,,30,2,"2",8,2015,FALSE,FALSE,2
2015-07-22,15:59:00,2015-07-22 15:59:00,"WK058.00","WK","C","CL","H","CA","A",19,,30,1.9,"<2",8,2015,TRUE,FALSE,2
2015-06-17,15:05:00,2015-06-17 15:05:00,"WK058.00","WK","O","CL","E","A","A",17,,30,10,"10",5,2015,FALSE,FALSE,10
2015-06-02,11:17:00,2015-06-02 11:17:00,"WK058.00","WK","O","CL","H","A","A",13,,30,22,"22",2,2015,FALSE,FALSE,22
2015-04-22,16:12:00,2015-04-22 16:12:00,"WK058.00","WK","C","SW","HE","A","A",11,FALSE,22,2,"2",7.5,2015,FALSE,FALSE,2
2015-04-07,16:38:00,2015-04-07 16:38:00,"WK058.00","WK","O","SW","E","A","A",4,,30,1.9,"<2",2,2015,TRUE,FALSE,2
2019-09-23,07:59:00,2019-09-23 07:59:00,"WK057.00","WK","O",,"E","A","A",16,,31,1.9,"<2",4,2019,TRUE,FALSE,2
2019-08-20,13:18:00,2019-08-20 13:18:00,"WK057.00","WK","O",,"F","A","A",20,,31,1.9,"<2",4,2019,TRUE,FALSE,2
2019-07-30,08:19:00,2019-07-30 08:19:00,"WK057.00","WK","O",,"F","A","A",22,,30,4,"4",8,2019,FALSE,FALSE,4
2019-06-26,08:27:00,2019-06-26 08:27:00,"WK057.00","WK","O",,"E","A","A",13,,25,46,"46",4,2019,FALSE,FALSE,46
2019-05-29,,2019-05-29 00:00:00,"WK057.00","WK","O",,"LF","A","A",10,,25,1.9,"<2",5,2019,TRUE,FALSE,2
2019-04-29,08:46:00,2019-04-29 08:46:00,"WK057.00","WK","O",,"HE","A","A",8,,26,1.9,"<2",3,2019,TRUE,FALSE,2
2019-03-18,10:54:00,2019-03-18 10:54:00,"WK057.00","WK","O",,"E","A","A",3,,32,3.6,"3.6",4,2019,FALSE,FALSE,3.6
2019-02-26,20:35:00,2019-02-26 20:35:00,"WK057.00","WK","O",,"E","A","A",0,,32,1.9,"<2",1,2019,TRUE,FALSE,2
2019-01-28,15:00:00,2019-01-28 15:00:00,"WK057.00","WK","O",,"F","A","A",-1,,32,1.9,"<2",4,2019,TRUE,FALSE,2
2019-01-07,12:41:00,2019-01-07 12:41:00,"WK057.00","WK","O",,"HE","A","A",5,,32,1.9,"<2",5,2019,TRUE,FALSE,2
2018-10-10,11:00:00,2018-10-10 11:00:00,"WK057.00","WK","O","CL","HF","A","A",14,,31,1.9,"<2",5,2018,TRUE,FALSE,2
2018-09-17,16:44:00,2018-09-17 16:44:00,"WK057.00","WK","C","S","HF","CA","A",19,,32,1.9,"<2",1,2018,TRUE,FALSE,2
2018-08-26,,2018-08-26 00:00:00,"WK057.00","WK","C","S","E","CA","A",20,,31,2,"2",5,2018,FALSE,FALSE,2
2018-08-01,13:55:00,2018-08-01 13:55:00,"WK057.00","WK","C","S","HF","CA","A",23,,34,1.9,"<2",8,2018,TRUE,FALSE,2
2018-06-19,15:50:00,2018-06-19 15:50:00,"WK057.00","WK","C","N","HF","CA","A",17,,32,2,"2",5,2018,FALSE,FALSE,2
2018-05-01,11:46:00,2018-05-01 11:46:00,"WK057.00","WK","O","S","HF","CA","A",9,,23,1.9,"<2",3,2018,TRUE,FALSE,2
2018-04-04,14:03:00,2018-04-04 14:03:00,"WK057.00","WK","O","S","HF","CA","A",5,,31,1.9,"<2",2,2018,TRUE,FALSE,2
2018-03-19,12:35:00,2018-03-19 12:35:00,"WK057.00","WK","O","SW","HF","CA","A",0,,37,1.9,"<2",5,2018,TRUE,FALSE,2
2018-02-26,07:46:00,2018-02-26 07:46:00,"WK057.00","WK","O","CL","HE","CA","A",1,,35,1.9,"<2",6,2018,TRUE,FALSE,2
2018-02-05,14:20:00,2018-02-05 14:20:00,"WK057.00","WK","O","N","H","CA","A",0,,32,1.9,"<2",3,2018,TRUE,FALSE,2
2018-01-22,13:20:00,2018-01-22 13:20:00,"WK057.00","WK",,,"HF","CA","A",,,,,,,2018,,,
2018-01-09,14:19:00,2018-01-09 14:19:00,"WK057.00","WK",,,"F","CA","A",,,,,,,2018,,,
2017-11-06,11:30:00,2017-11-06 11:30:00,"WK057.00","WK","O","S","H","CA","A",10,,27,10,"10",2.5,2017,FALSE,FALSE,10
2017-09-06,11:54:00,2017-09-06 11:54:00,"WK057.00","WK","C","SW","H","CA","A",18,,34,11,"11",4,2017,FALSE,FALSE,11
2017-07-24,13:02:00,2017-07-24 13:02:00,"WK057.00","WK","C","W","HE","CA","A",20,,33,2,"2",4,2017,FALSE,FALSE,2
2017-06-19,07:35:00,2017-06-19 07:35:00,"WK057.00","WK","C","S","HE","CA","A",19,,30,6,"6",4,2017,FALSE,FALSE,6
2017-05-09,11:51:00,2017-05-09 11:51:00,"WK057.00","WK","O","CL","HE","CA","A",10,,25,2,"2",3.5,2017,FALSE,FALSE,2
2017-04-05,07:48:00,2017-04-05 07:48:00,"WK057.00","WK","O","NE","HE","CA","A",2,,30,1.9,"<2",4,2017,TRUE,FALSE,2
2017-03-13,10:58:00,2017-03-13 10:58:00,"WK057.00","WK","O","NE","F","CA","A",0,,30,1.9,"<2",1,2017,TRUE,FALSE,2
2017-02-08,10:14:00,2017-02-08 10:14:00,"WK057.00","WK","C","CL","E","P","A",0,,32,1.9,"<2",8,2017,TRUE,FALSE,2
2017-01-04,13:20:00,2017-01-04 13:20:00,"WK057.00","WK","C","CL","F","P","A",6,,30,1.9,"<2",4,2017,TRUE,FALSE,2
2016-12-05,13:05:00,2016-12-05 13:05:00,"WK057.00","WK","C","NE","HF","P","A",4,,30,1.9,"<2",6.5,2016,TRUE,FALSE,2
2016-11-28,,2016-11-28 00:00:00,"WK057.00","WK","C","NW","HF","P","A",5,,32,1.9,"<2",1,2016,TRUE,FALSE,2
2016-11-07,,2016-11-07 00:00:00,"WK057.00","WK","C","N","HF","P","A",8,,30,1.9,"<2",3,2016,TRUE,FALSE,2
2016-08-15,10:11:00,2016-08-15 10:11:00,"WK057.00","WK","C","N","HE","P","A",21,,30,1.9,"<2",7,2016,TRUE,FALSE,2
2016-08-03,14:59:00,2016-08-03 14:59:00,"WK057.00","WK","C","SW","E","P","A",24,,30,1.9,"<2",6,2016,TRUE,FALSE,2
2016-05-11,15:37:00,2016-05-11 15:37:00,"WK057.00","WK","C","SW","H","P","A",10,,30,1.9,"<2",6,2016,TRUE,FALSE,2
2016-04-12,15:13:00,2016-04-12 15:13:00,"WK057.00","WK","C","S","HF","P","A",5,,30,1.9,"<2",1,2016,TRUE,FALSE,2
2016-03-22,11:43:00,2016-03-22 11:43:00,"WK057.00","WK","C","SE","H","P","A",4,,30,1.9,"<2",3.5,2016,TRUE,FALSE,2
2016-03-09,12:47:00,2016-03-09 12:47:00,"WK057.00","WK","C","NW","E","P","A",7,,30,1.9,"<2",3,2016,TRUE,FALSE,2
2016-02-23,09:19:00,2016-02-23 09:19:00,"WK057.00","WK","C","N","F","P","A",3,,32,1.9,"<2",3,2016,TRUE,FALSE,2
2016-01-20,07:20:00,2016-01-20 07:20:00,"WK057.00","WK","C","NW","H","P","A",-1,,32,1.9,"<2",3,2016,TRUE,FALSE,2
2015-12-28,12:31:00,2015-12-28 12:31:00,"WK057.00","WK","C","NW","H","P","A",2,,30,1.9,"<2",3,2015,TRUE,FALSE,2
2015-12-16,14:58:00,2015-12-16 14:58:00,"WK057.00","WK","C","NW","HE","P","A",7,,30,1.9,"<2",3,2015,TRUE,FALSE,2
2015-12-01,13:53:00,2015-12-01 13:53:00,"WK057.00","WK","C","CL","HF","P","A",5,,30,1.9,"<2",4,2015,TRUE,FALSE,2
2015-11-02,15:07:00,2015-11-02 15:07:00,"WK057.00","WK","C","W","H","P","A",9,,30,1.9,"<2",5,2015,TRUE,FALSE,2
2015-09-08,11:06:00,2015-09-08 11:06:00,"WK057.00","WK","C","SW","E","P","A",21,,30,1.9,"<2",8,2015,TRUE,FALSE,2
2015-07-22,15:49:00,2015-07-22 15:49:00,"WK057.00","WK","C","CL","H","P","A",20,,30,1.9,"<2",8,2015,TRUE,FALSE,2
2015-06-17,14:55:00,2015-06-17 14:55:00,"WK057.00","WK","C","NW","E","P","A",17,,30,1.9,"<2",5,2015,TRUE,FALSE,2
2015-06-02,11:08:00,2015-06-02 11:08:00,"WK057.00","WK","C","N","HF","P","A",13,,30,58,"58",2,2015,FALSE,FALSE,58
2015-04-28,07:43:00,2015-04-28 07:43:00,"WK057.00","WK","C","NW","H","P","A",7,,30,1.9,"<2",4,2015,TRUE,FALSE,2
2015-04-22,16:04:00,2015-04-22 16:04:00,"WK057.00","WK","C","SW","HE","P","A",8,FALSE,24,1.9,"<2",7.5,2015,TRUE,FALSE,2
2015-04-07,16:32:00,2015-04-07 16:32:00,"WK057.00","WK","C","SW","E","P","A",3,,30,1.9,"<2",2,2015,TRUE,FALSE,2
2015-03-10,15:52:00,2015-03-10 15:52:00,"WK057.00","WK","C",,"HE","P","A",,,,,,,2015,,,
2015-02-18,11:10:00,2015-02-18 11:10:00,"WK057.00","WK","C",,"HE","P","A",,,,,,,2015,,,
2015-01-21,10:54:00,2015-01-21 10:54:00,"WK057.00","WK","C","CL","H","P","A",-3,,32,1.9,"<2",4,2015,TRUE,FALSE,2
2015-01-12,13:12:00,2015-01-12 13:12:00,"WK057.00","WK","C",,"F","P","A",,,,,,,2015,,,
2019-10-07,08:50:00,2019-10-07 08:50:00,"WK056.00","WK","C",,"E","CA","A",16,,31,8,"8",4,2019,FALSE,FALSE,8
2019-09-23,07:48:00,2019-09-23 07:48:00,"WK056.00","WK","C",,"E","CA","A",16,,31,6,"6",4,2019,FALSE,FALSE,6
2019-08-20,13:30:00,2019-08-20 13:30:00,"WK056.00","WK","C",,"HF","CA","A",22,,31,1.9,"<2",4,2019,TRUE,FALSE,2
2019-07-30,08:04:00,2019-07-30 08:04:00,"WK056.00","WK","C",,"F","CA","A",22,,31,5.5,"5.5",8,2019,FALSE,FALSE,5.5
2019-06-26,08:08:00,2019-06-26 08:08:00,"WK056.00","WK","C",,"E","CA","A",15,,25,72,"72",4,2019,FALSE,FALSE,72
2019-05-29,,2019-05-29 00:00:00,"WK056.00","WK","C",,"L","CA","A",10,,25,1.9,"<2",5,2019,TRUE,FALSE,2
2019-04-29,08:39:00,2019-04-29 08:39:00,"WK056.00","WK","C",,"HE","CA","A",7,,26,1.9,"<2",3,2019,TRUE,FALSE,2
2019-03-27,14:45:00,2019-03-27 14:45:00,"WK056.00","WK","O",,"F","CA","A",6,,30,2,"2",6,2019,FALSE,FALSE,2
2019-03-18,10:50:00,2019-03-18 10:50:00,"WK056.00","WK","O",,"E","CA","A",0,,20,1.9,"<2",4,2019,TRUE,FALSE,2
2019-03-05,15:55:00,2019-03-05 15:55:00,"WK056.00","WK",,,"LE","CA","A",,,,,,,2019,,,
2019-02-26,20:30:00,2019-02-26 20:30:00,"WK056.00","WK",,,"E","CA","A",,,,,,,2019,,,
2019-01-28,15:16:00,2019-01-28 15:16:00,"WK056.00","WK",,,"F","CA","A",,,,,,,2019,,,
2019-01-07,12:35:00,2019-01-07 12:35:00,"WK056.00","WK","O",,"HE","CA","A",7,,32,1.9,"<2",5,2019,TRUE,FALSE,2
2018-10-10,10:52:00,2018-10-10 10:52:00,"WK056.00","WK","C","CL","F","CA","A",15,,30,2,"2",5,2018,FALSE,FALSE,2
2018-09-17,16:39:00,2018-09-17 16:39:00,"WK056.00","WK","C","S","HF","CA","A",22,,32,6,"6",1,2018,FALSE,FALSE,6
2018-08-26,,2018-08-26 00:00:00,"WK056.00","WK","C","S","E","CA","A",22,,31,9.1,"9.1",5,2018,FALSE,FALSE,9.1
2018-08-01,13:43:00,2018-08-01 13:43:00,"WK056.00","WK","C","S","HF","CA","A",25,,34,5.5,"5.5",8,2018,FALSE,FALSE,5.5
2018-06-19,15:41:00,2018-06-19 15:41:00,"WK056.00","WK","C","N","HF","CA","A",17,,32,1.9,"<2",5,2018,TRUE,FALSE,2
2018-05-01,11:36:00,2018-05-01 11:36:00,"WK056.00","WK","C","S","HF","CA","A",10,,23,1.9,"<2",3,2018,TRUE,FALSE,2
2018-04-04,13:55:00,2018-04-04 13:55:00,"WK056.00","WK","O","S","HF","CA","A",5,,27,1.9,"<2",2,2018,TRUE,FALSE,2
2018-03-19,12:25:00,2018-03-19 12:25:00,"WK056.00","WK","O","CL","HF","CA","A",0,,37,1.9,"<2",5,2018,TRUE,FALSE,2
2018-02-26,07:38:00,2018-02-26 07:38:00,"WK056.00","WK","O","CL","H","CA","A",1,,33,2,"2",6,2018,FALSE,FALSE,2
2018-02-05,14:05:00,2018-02-05 14:05:00,"WK056.00","WK","O","N","HF","CA","A",0,,2,15,"15",3,2018,FALSE,FALSE,15
2018-01-22,13:15:00,2018-01-22 13:15:00,"WK056.00","WK",,,"HF","CA","A",,,,,,,2018,,,
2018-01-09,14:13:00,2018-01-09 14:13:00,"WK056.00","WK",,,"F","CA","A",,,,,,,2018,,,
2017-11-06,11:20:00,2017-11-06 11:20:00,"WK056.00","WK","C","S","HF","CA","A",13,,15,108,"108",2.5,2017,FALSE,FALSE,108
2017-09-06,11:46:00,2017-09-06 11:46:00,"WK056.00","WK","C","CL","H","CA","A",19,,33,108,"108",4,2017,FALSE,FALSE,108
2017-07-24,12:56:00,2017-07-24 12:56:00,"WK056.00","WK","C","W","H","CA","A",21,,34,28,"28",4,2017,FALSE,FALSE,28
2017-06-19,07:24:00,2017-06-19 07:24:00,"WK056.00","WK","C","CL","HE","CA","A",19,,30,2,"2",4,2017,FALSE,FALSE,2
2017-05-09,11:41:00,2017-05-09 11:41:00,"WK056.00","WK","C","CL","HE","CA","A",9,,25,4,"4",3.5,2017,FALSE,FALSE,4
2017-04-05,07:43:00,2017-04-05 07:43:00,"WK056.00","WK","O","NE","HE","CA","A",2,,30,1.9,"<2",4,2017,TRUE,FALSE,2
2017-03-13,10:47:00,2017-03-13 10:47:00,"WK056.00","WK","O","NE","F","CA","A",0,,26,1.9,"<2",1,2017,TRUE,FALSE,2
2017-01-04,13:14:00,2017-01-04 13:14:00,"WK056.00","WK","O","CL","F","CA","A",6,,30,1.9,"<2",4,2017,TRUE,FALSE,2
2016-12-05,12:57:00,2016-12-05 12:57:00,"WK056.00","WK","O","NE","F","CA","A",3,,30,1.9,"<2",6.5,2016,TRUE,FALSE,2
2016-11-28,,2016-11-28 00:00:00,"WK056.00","WK","C","NW","HF","CA","A",2,,32,1.9,"<2",1,2016,TRUE,FALSE,2
2016-11-07,,2016-11-07 00:00:00,"WK056.00","WK","C","N","HF","CA","A",8,,30,1.9,"<2",3,2016,TRUE,FALSE,2
2016-08-15,10:01:00,2016-08-15 10:01:00,"WK056.00","WK","C","CL","HE","CA","A",20,,30,35,"35",7,2016,FALSE,FALSE,35
2016-08-03,14:52:00,2016-08-03 14:52:00,"WK056.00","WK","C","SW","E","CA","A",26,,30,620,"620",6,2016,FALSE,FALSE,620
2016-05-11,15:30:00,2016-05-11 15:30:00,"WK056.00","WK","C","SW","H","CA","A",10,,28,1.9,"<2",6,2016,TRUE,FALSE,2
2016-04-12,15:09:00,2016-04-12 15:09:00,"WK056.00","WK","O","S","HF","CA","A",5,,20,1.9,"<2",1,2016,TRUE,FALSE,2
2016-03-22,12:03:00,2016-03-22 12:03:00,"WK056.00","WK","O","SE","HE","CA","A",5,,26,1.9,"<2",3.5,2016,TRUE,FALSE,2
2016-03-09,12:39:00,2016-03-09 12:39:00,"WK056.00","WK","O","NW","E","CA","A",8,,16,2,"2",3,2016,FALSE,FALSE,2
2016-02-23,09:25:00,2016-02-23 09:25:00,"WK056.00","WK","O","CL","F","CA","A",0,,30,1.9,"<2",3,2016,TRUE,FALSE,2
2016-01-20,07:10:00,2016-01-20 07:10:00,"WK056.00","WK","O","CL","H","CA","A",-2,,18,1.9,"<2",3,2016,TRUE,FALSE,2
2015-12-28,12:26:00,2015-12-28 12:26:00,"WK056.00","WK","O","NW","H","CA","A",3,,30,1.9,"<2",3,2015,TRUE,FALSE,2
2015-12-16,15:04:00,2015-12-16 15:04:00,"WK056.00","WK","O","NW","HE","CA","A",6,,30,2,"2",3,2015,FALSE,FALSE,2
2015-12-01,13:44:00,2015-12-01 13:44:00,"WK056.00","WK","O","CL","HF","CA","A",5,,30,1.9,"<2",4,2015,TRUE,FALSE,2
2015-11-02,15:00:00,2015-11-02 15:00:00,"WK056.00","WK","O","W","H","CA","A",10,,30,1.9,"<2",5,2015,TRUE,FALSE,2
2015-09-08,10:59:00,2015-09-08 10:59:00,"WK056.00","WK","C","CL","E","CA","A",22,,30,120,"120",8,2015,FALSE,FALSE,120
2015-07-22,15:41:00,2015-07-22 15:41:00,"WK056.00","WK","C","CL","HF","CA","A",21,,30,8,"8",8,2015,FALSE,FALSE,8
2015-06-17,14:49:00,2015-06-17 14:49:00,"WK056.00","WK","C","CL","E","CA","A",19,,28,4,"4",5,2015,FALSE,FALSE,4
2015-06-02,11:01:00,2015-06-02 11:01:00,"WK056.00","WK","C","N","HF","CA","A",13,,28,31,"31",2,2015,FALSE,FALSE,31
2015-04-28,07:36:00,2015-04-28 07:36:00,"WK056.00","WK","O","CL","H","CA","A",7,,30,1.9,"<2",4,2015,TRUE,FALSE,2
2015-04-22,15:48:00,2015-04-22 15:48:00,"WK056.00","WK","C","CL","HE","CA","A",7,FALSE,2,1.9,"<2",7.5,2015,TRUE,FALSE,2
2015-04-07,16:28:00,2015-04-07 16:28:00,"WK056.00","WK","O","SW","E","CA","A",4,,8,2,"2",2,2015,FALSE,FALSE,2
2015-03-10,15:44:00,2015-03-10 15:44:00,"WK056.00","WK","O",,"HE","CA","A",,,,,,,2015,,,
2015-02-18,11:08:00,2015-02-18 11:08:00,"WK056.00","WK","O",,"HE","CA","A",,,,,,,2015,,,
2015-01-21,10:44:00,2015-01-21 10:44:00,"WK056.00","WK","O","CL","H","CA","A",-2,,16,1.9,"<2",4,2015,TRUE,FALSE,2
2015-01-12,13:26:00,2015-01-12 13:26:00,"WK056.00","WK","O",,"F","CA","A",,,,,,,2015,,,
2019-10-07,10:15:00,2019-10-07 10:15:00,"WK055.00","WK","C",,"E","CA","A",16,,31,120,"120",4,2019,FALSE,FALSE,120
